unit_name,total_cycles,stall_cycles,busy_cycles,idle_cycles,stall_rate,utilization_rate,idle_rate,hit_count,miss_count,eviction_count,total_accesses,hit_rate,miss_rate,avg_service_latency,instruction_summary,overflow_summary,overflow_details,avg_latency,p99_latency,avg_ldst_q_occupancy,99p_ldst_q_occupancy,num_q_full_cycles,full_cycles,full_rate,store_cycles,store_rate,writeback_cycles,writeback_rate,avg_occupancy,occupancy_p99,num_instructions_exited,latency_p99
dCache,3478090,1,3461376,16714,2.8751412413134796e-7,0.9951944889292687,0.00480551107073135,30486,48795,19578,79281,0.3845309721118553,0.6154690278881447,31.542513338630947,,,,,,,,,,,,,,,,,,
Scheduler_Stage,3445682,16774,3428908,16774,0.004868121898654606,0.9951318781013454,0.004868121898654606,,,,,,,,,,,,,,,,,,,,,,,,,
ICache_Stage,3478090,32049,43896,3434194,0.00921454016428557,0.01262071999286965,0.9873792800071304,11129,359,0,11488,0.96875,0.03125,2.53125,,,,,,,,,,,,,,,,,,
Alu_int_0,3478090,0,6816,3471274,0.0,0.0019596962700792675,0.9980403037299207,,,,,,,,"{'CSRR': 256, 'ADD': 2304, 'ADDI': 1248, 'LLI': 1024, 'LUI': 928, 'LMI': 800, 'SUB': 64, 'XOR': 96, 'OR': 96}",no_overflows,no_overflows,,,,,,,,,,,,,,,
Mul_int_0,3478090,0,704,3477386,0.0,0.00020240994338846895,0.9997975900566115,,,,,,,,{'MUL': 704},no_overflows,no_overflows,,,,,,,,,,,,,,,
Div_int_0,3478090,0,128,3477962,0.0,0.00003680180788881254,0.9999631981921112,,,,,,,,{'DIV': 128},no_overflows,no_overflows,,,,,,,,,,,,,,,
Alu_float_0,3478090,0,544,3477546,0.0,0.0001564076835274533,0.9998435923164726,,,,,,,,"{'ADDF': 384, 'SLTF': 160}",no_overflows,no_overflows,,,,,,,,,,,,,,,
Mul_float_0,3478090,0,384,3477706,0.0,0.00011040542366643761,0.9998895945763335,,,,,,,,{'MULF': 384},no_overflows,no_overflows,,,,,,,,,,,,,,,
Div_float_0,3478090,0,0,3478090,0.0,0.0,1.0,,,,,,,,no_instructions,no_overflows,no_overflows,,,,,,,,,,,,,,,
Trig_float_0,3478090,0,0,3478090,0.0,0.0,1.0,,,,,,,,no_instructions,no_overflows,no_overflows,,,,,,,,,,,,,,,
InvSqrt_float_0,3478090,0,0,3478090,0.0,0.0,1.0,,,,,,,,no_instructions,no_overflows,no_overflows,,,,,,,,,,,,,,,
Conv_float_0,3478090,0,64,3478026,0.0,0.00001840090394440627,0.9999815990960556,,,,,,,,{'ITOF': 64},no_overflows,no_overflows,,,,,,,,,,,,,,,
Branch_0,3478090,0,160,3477930,0.0,0.00004600225986101567,0.9999539977401389,,,,,,,,"{'BNE': 64, 'BEQ': 64, 'HALT': 32}",no_overflows,no_overflows,,,,,,,,,,,,,,,
Jump_0,3478090,0,160,3477930,0.0,0.00004600225986101567,0.9999539977401389,,,,,,,,{'JAL': 160},no_overflows,no_overflows,,,,,,,,,,,,,,,
Ldst_Fu_0,3478090,3299343,3469579,8511,0.948607712853894,0.9975529672895181,0.0024470327104819025,,,,,,,,"{'SW': 1966693, 'LW': 1502886}",,,1376.8170634920634,3220.0,31.553872383980863,32.0,3297739,,,,,,,,,,
Alu_int_0_wb_buffer,3478090,0,11090,3467000,0.0,0.003188531636616649,0.9968114683633833,,,,,,,,,,,1.0174589201877935,,,,,0,0.0,6816,0.0019596962700792675,6741,0.0019381327107694166,0.001993910450850898,0.0,6816,2.0
Mul_int_0_wb_buffer,3478090,0,1094,3476996,0.0,0.00031454045179969464,0.9996854595482003,,,,,,,,,,,1.0014204545454546,,,,,0,0.0,704,0.00020240994338846895,703,0.00020212242926433762,0.00020269745751260032,0.0,704,1.0
Div_int_0_wb_buffer,3478090,0,256,3477834,0.0,0.00007360361577762508,0.9999263963842224,,,,,,,,,,,1.0,,,,,0,0.0,128,0.00003680180788881254,128,0.00003680180788881254,0.00003680180788881254,0.0,128,1.0
Alu_float_0_wb_buffer,3478090,0,907,3477183,0.0,0.0002607753105871326,0.9997392246894129,,,,,,,,,,,1.0,,,,,0,0.0,544,0.0001564076835274533,544,0.0001564076835274533,0.0001564076835274533,0.0,544,1.0
Mul_float_0_wb_buffer,3478090,0,493,3477597,0.0,0.00014174446319675454,0.9998582555368033,,,,,,,,,,,1.0,,,,,0,0.0,384,0.00011040542366643761,384,0.00011040542366643761,0.00011040542366643761,0.0,384,1.0
Div_float_0_wb_buffer,3478090,0,0,3478090,0.0,0.0,1.0,,,,,,,,,,,0.0,,,,,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0
Trig_float_0_wb_buffer,3478090,0,0,3478090,0.0,0.0,1.0,,,,,,,,,,,0.0,,,,,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0
InvSqrt_float_0_wb_buffer,3478090,0,0,3478090,0.0,0.0,1.0,,,,,,,,,,,0.0,,,,,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0
Conv_float_0_wb_buffer,3478090,0,128,3477962,0.0,0.00003680180788881254,0.9999631981921112,,,,,,,,,,,1.0,,,,,0,0.0,64,0.00001840090394440627,64,0.00001840090394440627,0.00001840090394440627,0.0,64,1.0
Branch_0_wb_buffer,3478090,0,320,3477770,0.0,0.00009200451972203134,0.999907995480278,,,,,,,,,,,1.0,,,,,0,0.0,160,0.00004600225986101567,160,0.00004600225986101567,0.00004600225986101567,0.0,160,1.0
Jump_0_wb_buffer,3478090,0,320,3477770,0.0,0.00009200451972203134,0.999907995480278,,,,,,,,,,,1.0,,,,,0,0.0,160,0.00004600225986101567,160,0.00004600225986101567,0.00004600225986101567,0.0,160,1.0
Ldst_Fu_0_wb_buffer,3478090,0,5048,3473042,0.0,0.0014513712986150445,0.9985486287013849,,,,,,,,,,,1.0,,,,,0,0.0,2528,0.0007268357058040476,2528,0.0007268357058040476,0.0007268357058040476,0.0,2528,1.0
