,,,,,,,"start=0 means first instruction in packet, end=1 means last instruction in packet",
,R Type,7'b opcode,6'b rd,6'b rs1,6'b rs2,5'b predication," 1'b packet start, 1'b packet end",
,Functionality,,,R, Instruction Type,Description,,Notes
,,,,,,,,
,Mnemonic,Operation,Category,OpCode,,Assembly,Hardware,Notes
,add,INT Addition,INT Arithmetic,000,0000,"add rd, rs1, rs2",R[rd] = R[rs1] + R[rs2],
,sub,INT Subtraction,,000,0001,"sub rd, rs1, rs2",R[rd] = R[rs1] - R[rs2],
,mul,INT Multiplication,,000,0010,"mul rd, rs1, rs2",R[rd] = R[rs1] x R[rs2],
,div,INT Division,,000,0011,"div rd, rs1, rs2",R[rd] = R[rs1] / R[rs2],
,and,AND,Bitwise Logical Operators,000,0100,"and rd, rs1, rs2",R[rd] = R[rs1] AND R[rs2],
,or,OR,,000,0101,"or rd, rs1, rs2",R[rd] = R[rs1] OR R[rs2],
,xor,XOR,,000,0110,"xor rd, rs1, rs2",R[rd] = R[rs1] XOR R[rs2],
,slt,Set if Less Than,Comparison,000,0111,"slt rd, rs1, rs2",R[rd] = (R[rs1] < R[rs2]) ? 1 : 0,Always assume signed
,sltu,Set if Less Than Unsigned,,000,1000,"sltu rd, rs1, rs2",R[rd] = (unsig{R[rs1]} < unsig{R[rs2]}) ? 1 :0,
,addf,FP Addition,FP     Arithmetic,000,1001,"addf rd, rs1, rs2",R[rd] = fp{R[rs1]} + fp{R[rs2]},
,subf,FP Subtraction,,000,1010,"subf rd, rs1, rs2",R[rd] = fp{R[rs1]} - fp{R[rs2]},
,mulf,FP Multiplication,,000,1011,"mulf rd, rs1, rs2",R[rd] = fp{R[rs1]} x fp{R[rs2]},
,divf,FP Division,,000,1100,"divf rd, rs1, rs2",R[rd] = fp{R[rs1]} / fp{R[rs2]},
,sll,Shift Left Logical,Bit Shifting,000,1101,"sll rd, rs1, rs2",R[rd] = R[rs1] << R[rs2],
,srl,Shift Right Logical,,000,1110,"srl rd, rs1, rs2",R[rd] = R[rs1] >> R[rs2],
,sra,Shift Right Arithmetic,,000,1111,"sra rd, rs1, rs2",R[rd] = R[rs1] >>> R[rs2],Sign extends R[rs1]'s MSB
,,,,,,,,
,I Type,7'b opcode,6'b rd,6'b rs1,6'b imm,5'b predication," 1'b packet start, 1'b packet end",
,Functionality,,,I, Instruction Type,Description,,Notes
,,,,,,,,
,Mnemonic,Operation,Category,OpCode,,Assembly,Hardware,Notes
,lw,Load Word,Memory Read,001,0000,"lw rd, imm(rs1)",R[rd] = MEM ' 32b [rs1 + imm],
,lh,Load Half-Word,,001,0001,"lh rd, imm(rs1)",R[rd] = MEM ' 16b [rs1 + imm],
,lb,Load Byte,,001,0010,"lb rd, imm(rs1)",R[rd] = MEM ' 8b [rs1 + imm],
,jalr,Jump and Link Register,Jump,001,0011,"jalr rd, imm(rs1)",R[rd] = PC + 4 ; PC = R[rs1] + imm,
,isqrt,Inverse Square Root,Root,001,0100,"isqrt rd, rs1",R[rd] = √⁻¹ (R[rs1]),imm unused
,sin,Sine,Trig,001,0101,"sin rd, rs1",R[rd] = sin( R[rs1] ),imm unused
,cos,Cosine,,001,0110,"cos rd, rs1",R[rd] = cos( R[rs1] ),imm unused
,,,,001,0111,,,
,,,,001,1000,,,
,,,,001,1001,,,
,,,,001,1010,,,
,,,,001,1011,,,
,,,,001,1100,,,
,,,,001,1101,,,
,,,,001,1110,,,
,,,,001,1111,,,
,addi,Immediate INT Addition,Immediate INT Arithmetic,010,0000,"addi rd, rs1, imm",R[rd] = R[rs1] + imm,
,subi,Immediate INT Subtraction,,010,0001,"subi rd, rs1, imm",R[rd] = R[rs1] - imm,
,itof,Integer to Float,Type Conversion,010,0010,"itof rd, rs1, imm",R[rd] = fl ' R[rs1],imm unused
,ftoi,Float to Integer,,010,0011,"ftoi rd, rs1, imm",R[rd] = int ' R[rs1],imm unused
,,,Immediate Logical Operators,010,0100,,,
,ori,Immediate OR,,010,0101,"ori rd, rs1, imm",R[rd] = R[rs1] OR imm,
,,,,010,0110,,,
,slti,Immediate Set Less Than,Immediate Comparison,010,0111,"slti rd, rs1, imm",R[rd] = (R[rs1] < imm) ? 1 : 0,
,sltiu,Immediate Set Less Than Unsigned,,010,1000,"sltiu rd, rs1, imm",R[rd] = (unsig{R[rs1]} < unsig{imm}) ? 1 :0,
,,,,010,1001,,,
,,,,010,1010,,,
,,,,010,1011,,,
,,,,010,1100,,,
,,,,010,1101,,,
,srli,Immediate Shift Right Logical,Immediate Shifting,010,1110,"srli rd, rs1, imm",R[rd] = R[rs1] >> R[rs2],
,srai,Immediate Shift Right Arithmetic,,010,1111,"srai rd, rs1, imm",R[rd] = R[rs1] >>> imm,sign extend rs1's msb
,,,,,,,,
